primary_id,simple_id,supplier_id,seq_depth,subset,clade,exclude,genus,species,sex,location,sublocation,notes,source,names,name_loc
CICHM16429756,AltPet15,D14-C03,40.1,1,Deep,,Alticorpus,peterdaviesi,,Cape_Maclear,,trawl,,Alticorpus peterdaviesi,Alticorpus peterdaviesi.Cape_Maclear
cichlid7020159,AltPet7,D14-B05,18.1,1,Deep,,Alticorpus,peterdaviesi,M,Cape_Maclear,,trawl,,Alticorpus peterdaviesi,Alticorpus peterdaviesi.Cape_Maclear
cichlid7020163,AltPet11,D14-B09,17.6,1,Deep,,Alticorpus,peterdaviesi,M,Cape_Maclear,,trawl,,Alticorpus peterdaviesi,Alticorpus peterdaviesi.Cape_Maclear
cichlid7020156,AltPet4,D14-B01,18.9,1,Deep,,Alticorpus,peterdaviesi,M,Cape_Maclear,,trawl,,Alticorpus peterdaviesi,Alticorpus peterdaviesi.Cape_Maclear
cichlid7020157,AltPet5,D14-B02,18.3,1,Deep,,Alticorpus,peterdaviesi,F?,Cape_Maclear,,trawl,,Alticorpus peterdaviesi,Alticorpus peterdaviesi.Cape_Maclear
cichlid7020168,AltPet19,D14-C07,18.3,1,Deep,,Alticorpus,peterdaviesi,,Cape_Maclear,,trawl,,Alticorpus peterdaviesi,Alticorpus peterdaviesi.Cape_Maclear
cichlid7020158,AltPet6,D14-B03,19.3,1,Deep,,Alticorpus,peterdaviesi,M,Cape_Maclear,,trawl,,Alticorpus peterdaviesi,Alticorpus peterdaviesi.Cape_Maclear
cichlid7020162,AltPet10,D14-B08,20.7,1,Deep,,Alticorpus,peterdaviesi,F?,Cape_Maclear,,trawl,,Alticorpus peterdaviesi,Alticorpus peterdaviesi.Cape_Maclear
CICHM16429757,AltPet16,D14-C04,30.6,1,Deep,,Alticorpus,peterdaviesi,,Cape_Maclear,,trawl,,Alticorpus peterdaviesi,Alticorpus peterdaviesi.Cape_Maclear
CICHM16429755,AltPet14,D14-C02,41.6,1,Deep,,Alticorpus,peterdaviesi,,Cape_Maclear,,trawl,,Alticorpus peterdaviesi,Alticorpus peterdaviesi.Cape_Maclear
cichlid7020160,AltPet8,D14-B06,17.1,1,Deep,,Alticorpus,peterdaviesi,F?,Cape_Maclear,,trawl,,Alticorpus peterdaviesi,Alticorpus peterdaviesi.Cape_Maclear
cichlid7020167,AltPet18,D14-C06,19.4,1,Deep,,Alticorpus,peterdaviesi,,Cape_Maclear,,trawl,,Alticorpus peterdaviesi,Alticorpus peterdaviesi.Cape_Maclear
cichl187580151,CalMas172,D31-A03,13.8,3,AstCal,,Astatotilapia,calliptera,M,Lake_Masoko,5-20m,,181107.MassokoMaster,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Masoko
cichl187580087,CalMas108,D30-B04,13.7,3,AstCal,,Astatotilapia,calliptera,M,Lake_Masoko,5-20m,,181107.MassokoMaster,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Masoko
cichl187580484,CalMas265,G02-F02,14.8,3,AstCal,,Astatotilapia,calliptera,M,Lake_Masoko,5-20m,,181107.MassokoMaster,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Masoko
cichl187580120,CalMas141,D30-F05,15.8,3,AstCal,,Astatotilapia,calliptera,M,Lake_Masoko,5-20m,,181107.MassokoMaster,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Masoko
cichl187580492,CalMas273,G03-G01,13.9,3,AstCal,,Astatotilapia,calliptera,M,Lake_Masoko,5-20m,,181107.MassokoMaster,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Masoko
cichl187580140,CalMas161,D30-H05,15,3,AstCal,,Astatotilapia,calliptera,M,Lake_Masoko,5-20m,,181107.MassokoMaster,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Masoko
cichl187580072,CalMas93,D29-I01,19.4,3,AstCal,,Astatotilapia,calliptera,F,Lake_Masoko,5-20m,,181107.MassokoMaster,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Masoko
cichl187580139,CalMas160,D30-H04,16.7,3,AstCal,,Astatotilapia,calliptera,M,Lake_Masoko,5-20m,,181107.MassokoMaster,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Masoko
cichl187580148,CalMas169,D30-H10,17.2,3,AstCal,,Astatotilapia,calliptera,F,Lake_Masoko,5-20m,,181107.MassokoMaster,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Masoko
cichl187580527,CalMas308,G06-H08,16.2,3,AstCal,,Astatotilapia,calliptera,M,Lake_Masoko,5-20m,,181107.MassokoMaster,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Masoko
cichl187580103,CalMas124,D30-D08,12.8,3,AstCal,,Astatotilapia,calliptera,M,Lake_Masoko,5-20m,,181107.MassokoMaster,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Masoko
cichl187580483,CalMas264,G02-D08,15.1,3,AstCal,,Astatotilapia,calliptera,M,Lake_Masoko,5-20m,,181107.MassokoMaster,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Masoko
cichlid7050774,CalKin13,D16-E08,15.7,1,AstCal,,Astatotilapia,calliptera,M,Lake_Kingiri,shallow,G10I05,,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Kingiri
cichlid7050770,CalKin9,D16-E04,16.9,1,AstCal,,Astatotilapia,calliptera,M,Lake_Kingiri,shallow,G10J02,,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Kingiri
cichlid7050779,CalKin18,D16-F04,18.4,1,AstCal,,Astatotilapia,calliptera,M,Lake_Kingiri,shallow,G10H08,,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Kingiri
cichlid7050765,CalKin4,D16-D08,13.1,1,AstCal,,Astatotilapia,calliptera,M,Lake_Kingiri,shallow,G10J01,,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Kingiri
cichlid7050775,CalKin14,D16-E09,15.5,1,AstCal,,Astatotilapia,calliptera,M,Lake_Kingiri,shallow,G10I04,,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Kingiri
cichlid7050781,CalKin20,D16-F06,18,1,AstCal,,Astatotilapia,calliptera,M,Lake_Kingiri,shallow,G10I06,,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Kingiri
cichlid7050769,CalKin8,D16-E03,16.8,1,AstCal,,Astatotilapia,calliptera,M,Lake_Kingiri,shallow,G10I02,,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Kingiri
cichlid7050772,CalKin11,D16-E06,18.1,1,AstCal,,Astatotilapia,calliptera,M,Lake_Kingiri,shallow,G10I10,,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Kingiri
cichlid7050763,CalKin2,D16-D06,15.7,1,AstCal,,Astatotilapia,calliptera,M,Lake_Kingiri,shallow,G10I07,,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Kingiri
cichlid7050773,CalKin12,D16-E07,16.7,1,AstCal,,Astatotilapia,calliptera,M,Lake_Kingiri,shallow,G10I03,,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Kingiri
cichlid7050766,CalKin5,D16-D09,16.5,1,AstCal,,Astatotilapia,calliptera,M,Lake_Kingiri,shallow,G10J05,,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Kingiri
cichlid7050777,CalKin16,D16-F02,17.4,1,AstCal,,Astatotilapia,calliptera,M,Lake_Kingiri,shallow,G10J04,,Astatotilapia calliptera,Astatotilapia calliptera.Lake_Kingiri
cichlid7050681,CopChr35,D18-G03,19.8,1,Utaka,,Copadichromis,chrysonotus,,Lake_Malombe,Chimwala,,,Copadichromis chrysonotus,Copadichromis chrysonotus.Lake_Malombe
cichlid7050685,CopChr39,D18-G07,18.3,1,Utaka,,Copadichromis,chrysonotus,,Lake_Malombe,Chimwala,,,Copadichromis chrysonotus,Copadichromis chrysonotus.Lake_Malombe
cichlid6779918,CopChr31,D18-F08,16.9,1,Utaka,,Copadichromis,chrysonotus,M,Lake_Malombe,Chimwala,,,Copadichromis chrysonotus,Copadichromis chrysonotus.Lake_Malombe
cichlid6779916,CopChr29,D18-F06,16.7,1,Utaka,,Copadichromis,chrysonotus,M,Lake_Malombe,Chimwala,,,Copadichromis chrysonotus,Copadichromis chrysonotus.Lake_Malombe
cichlid7050682,CopChr36,D18-G04,17.2,1,Utaka,,Copadichromis,chrysonotus,F,Lake_Malombe,Chimwala,,,Copadichromis chrysonotus,Copadichromis chrysonotus.Lake_Malombe
cichlid7050680,CopChr34,D18-G02,17.3,1,Utaka,,Copadichromis,chrysonotus,F,Lake_Malombe,Chimwala,,,Copadichromis chrysonotus,Copadichromis chrysonotus.Lake_Malombe
cichlid7050678,CopChr32,D18-F10,19.2,1,Utaka,,Copadichromis,chrysonotus,F,Lake_Malombe,Chimwala,,,Copadichromis chrysonotus,Copadichromis chrysonotus.Lake_Malombe
cichlid7050683,CopChr37,D18-G05,17.7,1,Utaka,,Copadichromis,chrysonotus,,Lake_Malombe,Chimwala,,,Copadichromis chrysonotus,Copadichromis chrysonotus.Lake_Malombe
cichlid6779913,CopChr26,D18-F03,17.9,1,Utaka,,Copadichromis,chrysonotus,M,Lake_Malombe,Chimwala,,,Copadichromis chrysonotus,Copadichromis chrysonotus.Lake_Malombe
cichlid7050684,CopChr38,D18-G06,18.7,1,Utaka,,Copadichromis,chrysonotus,F,Lake_Malombe,Chimwala,,,Copadichromis chrysonotus,Copadichromis chrysonotus.Lake_Malombe
cichlid7050679,CopChr33,D18-G01,17.1,1,Utaka,,Copadichromis,chrysonotus,F,Lake_Malombe,Chimwala,,,Copadichromis chrysonotus,Copadichromis chrysonotus.Lake_Malombe
cichlid6779915,CopChr28,D18-F05,17.1,1,Utaka,,Copadichromis,chrysonotus,M,Lake_Malombe,Chimwala,,,Copadichromis chrysonotus,Copadichromis chrysonotus.Lake_Malombe
cichlid6780007,CopVir126,D27-E02,17.6,1,Utaka,,Copadichromis,virginalis,M,Southwest_arm,Msaka,black head yellow dorsal,,Copadichromis virginalis,Copadichromis virginalis.Southwest_arm
cichlid6779978,CopVir106,D22-B05,18,1,Utaka,,Copadichromis,virginalis,M,Southwest_arm,Msaka,black head yellow dorsal,,Copadichromis virginalis,Copadichromis virginalis.Southwest_arm
cichlid6779979,CopVir107,D22-B06,15.3,1,Utaka,,Copadichromis,virginalis,M,Southwest_arm,Msaka,black head yellow dorsal,,Copadichromis virginalis,Copadichromis virginalis.Southwest_arm
cichlid7020343,CopVir119,D22-I07,16,1,Utaka,,Copadichromis,virginalis,M,Southwest_arm,Msaka,yellow head yellow dorsal,,Copadichromis virginalis,Copadichromis virginalis.Southwest_arm
cichlid6779982,CopVir110,D22-G04,17.1,1,Utaka,,Copadichromis,virginalis,M,Southwest_arm,Msaka,black head yellow dorsal,,Copadichromis virginalis,Copadichromis virginalis.Southwest_arm
cichlid6780008,CopVir127,D27-E03,15.3,1,Utaka,,Copadichromis,virginalis,M,Southwest_arm,Msaka,black head yellow dorsal,,Copadichromis virginalis,Copadichromis virginalis.Southwest_arm
cichlid6779986,CopVir114,D22-G08,17.2,1,Utaka,,Copadichromis,virginalis,M,Southwest_arm,Msaka,black head yellow dorsal,,Copadichromis virginalis,Copadichromis virginalis.Southwest_arm
cichlid6779974,CopVir102,D22-B01,16.7,1,Utaka,,Copadichromis,virginalis,M,Southwest_arm,Msaka,black head yellow dorsal,,Copadichromis virginalis,Copadichromis virginalis.Southwest_arm
cichlid6779985,CopVir113,D22-G07,14.3,1,Utaka,,Copadichromis,virginalis,M,Southwest_arm,Msaka,black head yellow dorsal,,Copadichromis virginalis,Copadichromis virginalis.Southwest_arm
cichlid7020344,CopVir120,D22-I08,16.2,1,Utaka,,Copadichromis,virginalis,M,Southwest_arm,Msaka,yellow head yellow dorsal,,Copadichromis virginalis,Copadichromis virginalis.Southwest_arm
cichlid6780004,CopVir123,D27-D09,13.1,1,Utaka,,Copadichromis,virginalis,M,Southwest_arm,Msaka,black head yellow dorsal,,Copadichromis virginalis,Copadichromis virginalis.Southwest_arm
cichlid6779973,CopVir101,D22-A10,17.6,1,Utaka,,Copadichromis,virginalis,M,Southwest_arm,Msaka,black head yellow dorsal,,Copadichromis virginalis,Copadichromis virginalis.Southwest_arm
cichlid7020325,CopVir87,D20-I03,17,1,Utaka,,Copadichromis,virginalis,M,Lake_Malombe,,,,Copadichromis virginalis,Copadichromis virginalis.Lake_Malombe
cichlid6779961,CopVir100,D21-E05,17.2,1,Utaka,,Copadichromis,virginalis,F,Lake_Malombe,,,,Copadichromis virginalis,Copadichromis virginalis.Lake_Malombe
cichlid6779925,CopVir76,D20-F02,15.9,1,Utaka,,Copadichromis,virginalis,M,Lake_Malombe,,,,Copadichromis virginalis,Copadichromis virginalis.Lake_Malombe
cichlid6779923,CopVir74,D20-E10,15.2,1,Utaka,,Copadichromis,virginalis,M,Lake_Malombe,,,,Copadichromis virginalis,Copadichromis virginalis.Lake_Malombe
cichlid7020329,CopVir91,D20-I07,17.1,1,Utaka,,Copadichromis,virginalis,M,Lake_Malombe,,,,Copadichromis virginalis,Copadichromis virginalis.Lake_Malombe
cichlid6779929,CopVir80,D20-F06,13.9,1,Utaka,,Copadichromis,virginalis,M,Lake_Malombe,,,,Copadichromis virginalis,Copadichromis virginalis.Lake_Malombe
cichlid6779957,CopVir97,D21-E01,17.1,1,Utaka,,Copadichromis,virginalis,F,Lake_Malombe,,,,Copadichromis virginalis,Copadichromis virginalis.Lake_Malombe
cichlid6779958,CopVir98,D21-E02,18.8,1,Utaka,,Copadichromis,virginalis,F,Lake_Malombe,,,,Copadichromis virginalis,Copadichromis virginalis.Lake_Malombe
cichlid6779924,CopVir75,D20-F01,15.8,1,Utaka,,Copadichromis,virginalis,F,Lake_Malombe,,,,Copadichromis virginalis,Copadichromis virginalis.Lake_Malombe
cichlid6779928,CopVir79,D20-F05,14.5,1,Utaka,,Copadichromis,virginalis,M,Lake_Malombe,,,,Copadichromis virginalis,Copadichromis virginalis.Lake_Malombe
cichlid6779934,CopVir85,D20-G01,17.3,1,Utaka,,Copadichromis,virginalis,M,Lake_Malombe,,,,Copadichromis virginalis,Copadichromis virginalis.Lake_Malombe
cichlid6779921,CopVir72,D20-E08,15.4,1,Utaka,,Copadichromis,virginalis,M,Lake_Malombe,,,,Copadichromis virginalis,Copadichromis virginalis.Lake_Malombe
cichlid6979186,CynAfr42,D26-F02,17,1,Mbuna,,Cynotilapia,zebroides,,Cape_Maclear,Thumbi_West,Unicuspid,,Cynotilapia zebroides,Cynotilapia zebroides.Cape_Maclear
cichlid6979181,CynAfr37,D26-E07,17.4,1,Mbuna,,Cynotilapia,zebroides,,Cape_Maclear,Thumbi_West,Unicuspid,,Cynotilapia zebroides,Cynotilapia zebroides.Cape_Maclear
cichlid6979189,CynAfr45,D26-F05,18.5,1,Mbuna,,Cynotilapia,zebroides,,Cape_Maclear,Thumbi_West,Unicuspid,,Cynotilapia zebroides,Cynotilapia zebroides.Cape_Maclear
cichlid6979187,CynAfr43,D26-F03,18.4,1,Mbuna,,Cynotilapia,zebroides,,Cape_Maclear,Thumbi_West,Unicuspid,,Cynotilapia zebroides,Cynotilapia zebroides.Cape_Maclear
cichlid6979193,CynAfr49,D26-F09,19.7,1,Mbuna,,Cynotilapia,zebroides,,Cape_Maclear,Thumbi_West,,,Cynotilapia zebroides,Cynotilapia zebroides.Cape_Maclear
cichlid6979180,CynAfr36,D26-E06,16.6,1,Mbuna,,Cynotilapia,zebroides,,Cape_Maclear,Thumbi_West,Unicuspid,,Cynotilapia zebroides,Cynotilapia zebroides.Cape_Maclear
cichlid6979197,CynAfr53,D26-G03,19.4,1,Mbuna,,Cynotilapia,zebroides,,Cape_Maclear,Thumbi_West,,,Cynotilapia zebroides,Cynotilapia zebroides.Cape_Maclear
cichlid6979185,CynAfr41,D26-F01,17.5,1,Mbuna,,Cynotilapia,zebroides,,Cape_Maclear,Thumbi_West,Unicuspid,,Cynotilapia zebroides,Cynotilapia zebroides.Cape_Maclear
cichlid6979195,CynAfr51,D26-G01,19.2,1,Mbuna,,Cynotilapia,zebroides,,Cape_Maclear,Thumbi_West,,,Cynotilapia zebroides,Cynotilapia zebroides.Cape_Maclear
cichlid6979168,CynAfr24,D26-D04,16.9,1,Mbuna,,Cynotilapia,zebroides,,Cape_Maclear,Thumbi_West,No upper teeth,,Cynotilapia zebroides,Cynotilapia zebroides.Cape_Maclear
cichlid6979191,CynAfr47,D26-F07,17.5,1,Mbuna,,Cynotilapia,zebroides,,Cape_Maclear,Thumbi_West,,,Cynotilapia zebroides,Cynotilapia zebroides.Cape_Maclear
cichlid6979178,CynAfr34,D26-E04,18.3,1,Mbuna,,Cynotilapia,zebroides,,Cape_Maclear,Thumbi_West,Unicuspid,,Cynotilapia zebroides,Cynotilapia zebroides.Cape_Maclear
cichlid7020359,DipLim33,D23-A04,18.1,1,Diplo,,Diplotaxodon,limnothrissa,,Southwest_arm,Msaka,,,Diplotaxodon limnothrissa,Diplotaxodon limnothrissa.Southwest_arm
cichlid7020350,DipLim24,D22-J05,18.2,1,Diplo,,Diplotaxodon,limnothrissa,,Southwest_arm,Msaka,,,Diplotaxodon limnothrissa,Diplotaxodon limnothrissa.Southwest_arm
cichlid7020345,DipLim19,D22-I10,13.3,1,Diplo,,Diplotaxodon,limnothrissa,,Southwest_arm,Msaka,,,Diplotaxodon limnothrissa,Diplotaxodon limnothrissa.Southwest_arm
